Date;BA;CAT;KO;DIS;JPM;MMM;MSFT;PFE;WMT;XOM;Y05;Y10;Y15;Y20;Y30
1996-01-12;23.880096435546875;7.06812047958374;8.770936012268066;14.915291786193848;8.273387908935547;11.868684768676758;3.3045575618743896;3.8996617794036865;2.334362268447876;8.205086708068848;0.05424448657916;0.0586796512295;0.06167673655655;0.06352749067188;0.06495561155063
1996-01-19;24.072065353393555;7.1748199462890625;8.846288681030273;14.915291786193848;8.849733352661133;11.435020446777344;3.5405972003936768;3.923441171646118;2.085188627243042;8.359654426574707;0.05257494027394;0.05665631195973;0.05956501104793;0.06149745386631;0.06332398442276001
1996-01-26;23.572961807250977;7.570048809051514;8.981919288635254;15.101729393005371;9.370309829711914;11.914335250854492;3.487609386444092;4.177076816558838;2.0983033180236816;8.217961311340332;0.053543065415979994;0.057673503927359995;0.0604439376872;0.062219012835139996;0.06378716186167
1996-02-02;23.956884384155273;7.706854343414307;9.057276725769043;15.41247272491455;9.704957962036133;11.982804298400879;3.5839524269104004;4.303894519805908;2.2556748390197754;8.321006774902344;0.05254323989695;0.05791181723001;0.06140198131825;0.06348166501808;0.06493036239797
1996-02-09;25.456817626953125;7.858860492706299;9.599806785583496;15.59891128540039;9.9466552734375;12.484945297241211;3.8585312366485596;4.386729717254639;2.347476005554199;8.593299865722656;0.05242845256985;0.05807681271898;0.061641897530380005;0.06364997324268;0.06476157285968
1996-02-16;25.14874267578125;8.147679328918457;9.705300331115723;15.940719604492188;10.076797485351562;12.142576217651367;3.7718217372894287;4.33099889755249;2.229447364807129;8.476297378540039;0.05283214765876;0.05904031161833;0.06287259094561;0.06494139279934;0.06585870152118
1996-02-23;25.764934539794922;8.512500762939453;10.02177619934082;16.158241271972656;10.783287048339844;12.091084480285645;3.9885926246643066;4.33099889755249;2.334362268447876;8.554298400878906;0.055227432419589995;0.06135808515601;0.06514151415391;0.06702662817039;0.06735190541319
1996-03-01;24.802112579345703;8.208486557006836;9.901213645935059;16.40681266784668;10.820476531982422;11.953166961669922;3.6802937984466553;4.235462188720703;2.2687902450561523;8.294291496276855;0.05601137599673;0.06125106177953;0.06485391234842;0.06665983092211;0.06625617757292
1996-03-08;24.22441864013672;8.178082466125488;9.67516040802002;16.3135986328125;9.872288703918457;11.585375785827637;3.6658449172973633;4.187694549560547;2.3605902194976807;8.242286682128906;0.060501483916099996;0.06515228894239;0.06834043742529;0.06967955116509;0.06830450467044
1996-03-15;24.91765022277832;8.755714416503906;9.780608177185059;17.214731216430664;10.095386505126953;11.677324295043945;3.9452388286590576;4.004580974578857;2.4972312450408936;8.216290473937988;0.061777431020669994;0.065705432164;0.06882242217024;0.07020809362285;0.06878494243351
1996-03-22;27.38247299194336;8.421293258666992;10.143406867980957;16.127161026000977;10.578778266906738;11.861224174499512;3.897066593170166;4.3150739669799805;2.4972312450408936;8.463300704956055;0.06043867915414;0.06466142293512;0.06783884899787;0.06934066692887;0.06846425877298999
1996-03-29;26.68923568725586;8.269286155700684;10.007360458374023;15.878570556640625;10.485818862915039;11.88420581817627;3.9741437435150146;4.283229351043701;2.4183707237243652;8.476297378540039;0.06078458669457001;0.06488407607476;0.06819079523958;0.06978264764417;0.06877942059589
1996-04-04;26.304113388061523;8.345291137695312;10.128291130065918;16.158241271972656;10.941463470458984;11.99914264678955;4.022310256958008;4.537995338439941;2.365797758102417;8.879307746887207;0.06103229835269;0.06486337568139999;0.06801679089848;0.06952523056873999;0.06846257831879
1996-04-12;25.110214233398438;8.542900085449219;9.765488624572754;15.283530235290527;10.214517593383789;11.792257308959961;3.897066593170166;4.39469051361084;2.3789401054382324;8.51529598236084;0.0626938827429;0.0670682234565;0.0696252722791;0.07077935801186;0.07067683788076
1996-04-19;24.99468421936035;7.945512294769287;9.5236177444458;15.719305038452148;10.102677345275879;11.838236808776855;4.229448318481445;4.458381652832031;2.365797758102417;8.528299331665039;0.06277031079258;0.06698048989442;0.06980931256434;0.07086218743097;0.06940970810806
1996-04-26;24.879135131835938;7.93023157119751;9.825953483581543;15.408032417297363;10.307713508605957;11.976154327392578;4.373963832855225;4.267307281494141;2.4972312450408936;8.77530574798584;0.06258184741047;0.06633848486492;0.06936360410298;0.07080583224542;0.06942224119228001
1996-05-03;24.031864166259766;7.792712211608887;9.64455509185791;14.692103385925293;9.841720581054688;11.838236808776855;4.272805213928223;4.21953821182251;2.4676589965820312;8.567296028137207;0.06574938557365;0.07001704297408;0.07282656230226;0.07386855933521;0.0724281176837
1996-05-10;24.455509185791016;7.777435302734375;10.143406867980957;14.754356384277344;10.270431518554688;11.99914264678955;4.426952838897705;4.255217552185059;2.4972312450408936;8.76712703704834;0.06442854703365;0.06843557464802;0.07100912675703;0.07200280086566;0.07087002027736
1996-05-17;25.660245895385742;8.419180870056152;11.156235694885254;15.252400398254395;10.58730697631836;12.619779586791992;4.508843421936035;4.279210090637207;2.5892348289489746;8.898369789123535;0.06371529431382;0.06733435303962;0.07007520028851;0.07114318478204;0.06939367074295
1996-05-24;25.930776596069336;8.358068466186523;11.488802909851074;15.563669204711914;10.68050479888916;13.029082298278809;4.566649913787842;4.4871721267700195;2.628664016723633;9.134614944458008;0.06364715843478;0.06715214662883;0.06981876421751;0.07094363129312;0.069392699529
1996-05-31;26.35587501525879;8.021910667419434;11.12600326538086;15.127885818481445;10.438192367553711;12.635659217834473;4.576284408569336;4.527164459228516;2.720667600631714;8.898369789123535;0.06581218025101;0.06894199838748;0.07135665886634;0.07232692734879001;0.07074139352439
